City,Region,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,PrimeRent
Amsterdam,EMEA,07:30,07:30,7:30,7:30,8:00,"345,0.0"
Athens,EMEA,06:00,06:00,6:00,6:00,6:00,"252,23.5"
Barcelona,EMEA,06:30,06:45,7:15,7:30,8:00,"243,12.5"
Berlin,EMEA,11:00,10:30,10:15,9:00,9:00,"288,9.1"
Brussels,EMEA,06:00,06:00,6:00,6:15,6:15,"275,0.0"
Bucharest,EMEA,06:00,06:00,6:00,6:00,6:00,"222,0.0"
Budapest,EMEA,06:00,06:00,6:00,7:00,8:00,"264,10.0"
Cologne,EMEA,11:30,11:30,11:30,11:30,11:30,"264,0.0"
Copenhagen,EMEA,06:00,07:00,8:00,8:45,9:30,"242,2.9"
Dublin,EMEA,09:00,09:00,9:00,9:00,9:00,"646,25.0"
Dusseldorf,EMEA,03:30,04:00,5:00,6:00,6:00,"312,0.0"
Edinburgh,EMEA,07:00,07:15,7:15,8:00,8:00,"421,3.3"
Frankfurt,EMEA,11:15,11:15,11:15,11:15,11:15,"438,4.3"
Geneva,EMEA,04:30,05:00,5:00,5:00,5:15,"779,-8.1"
Hamburg,EMEA,11:00,11:00,11:00,11:00,11:00,"300,2.0"
Helsinki,EMEA,03:30,06:00,6:00,6:00,6:00,"306,2.0"
Istanbul,EMEA,06:00,06:00,6:00,6:00,6:00,"420,0.0"
Kiev,EMEA,03:45,04:30,5:00,5:30,5:30,"295,-3.4"
Lisbon,EMEA,06:00,06:00,6:15,6:30,6:30,"222,1.4"
London City,EMEA,08:30,08:45,9:00,9:00,9:30,"950,12.0"
London West End,EMEA,08:45,08:45,9:00,9:15,10:00,"1629,2.1"
Luxembourg,EMEA,08:15,08:30,8:30,9:00,9:00,"540,7.1"
Lyon,EMEA,12:00,12:00,12:00,12:00,12:00,"300,0.0"
Madrid,EMEA,06:45,06:45,7:15,7:30,8:00,"330,6.8"
Manchester,EMEA,07:30,07:45,8:00,8:15,9:00,"462,4.6"
Milan,EMEA,06:30,06:30,6:45,7:00,7:30,"490,4.3"
Moscow,EMEA,03:00,03:15,4:00,4:30,4:30,"702,-4.8"
Munich,EMEA,10:00,10:30,10:45,10:15,10:15,"408,3.0"
Oslo,EMEA,12:00,12:00,12:00,12:00,12:00,"446,0.0"
Paris CBD,EMEA,06:00,06:00,6:30,6:30,7:00,"735,2.1"
Prague,EMEA,06:00,06:00,6:00,6:00,6:00,"234,0"
Rome,EMEA,06:00,05:45,5:45,6:00,6:15,"390,2.6"
St. Petersburg,EMEA,02:00,03:15,4:45,5:00,5:30,"244,-26.8"
Stockholm,EMEA,09:00,09:30,9:45,9:00,9:00,"574,17.8"
Stuttgart,EMEA,10:00,10:30,10:30,10:30,10:30,"240,2.6"
Warsaw,EMEA,04:30,04:30,4:45,4:45,5:15,"282,-2.1"
Zurich,EMEA,04:30,05:00,6:00,6:00,6:00,"733,-3.0"
